Name,latitude,longitude,Address,IndustryType
krishna beads industries (kbi),18.9942425,72.8280073,"A1, 1st Floor , Unit 150, Shah & Nahar Industrial Estate, Sitaram Jadhav Marg, Lower Parel, Mumbai, Maharashtra 400013, India",apparel & fashion
stylecracker,19.0151206,72.8512995,"42A Impression House, G D Ambekar Marg,, Wadala Village, Wadala(west), Sahakar Nagar, Wadala, Mumbai, Maharashtra 400031, India",apparel & fashion
pepe jeans india ltd,19.1080069,72.8837132,"3rd Floor ,C-Tower, Times Square Building, Andheri - Kurla Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India",apparel & fashion
eternity lifestyles pvt. ltd,19.042027,72.867101,"129, Champaklal Udyog Bhavan, 105, Sion East, Air Force Quarters, Sion East, Sion, Mumbai, Maharashtra 400022, India",apparel & fashion
manish malhotra,19.0738661,72.8338069,"Shivraj Heights, Corner of 14th Road & Linking Road, Khar West, Santacruz West, Mumbai, Maharashtra 400052, India",apparel & fashion
sapl industries private limited,18.9948925,72.8255124,"5th Floor, The Phoenix House, Phoenix Mills Compound, Lower Parel, Mumbai, Maharashtra 400013, India",apparel & fashion
bombay shirt company,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
purple style labs,19.086778,72.8269687,"1st Floor, 30B, High Tide, Juhu Tara Rd, Chandrabai Nagar, Juhu, Mumbai, Maharashtra 400049, India",apparel & fashion
marsil exports,18.972502,72.8141,"2/02, 2nd Floor, Tardeo A C Market, Tardeo Road, Tardeo Road, Janata Nagar, Tardeo, Mumbai, Maharashtra 400034, India",apparel & fashion
emmar international,18.9255728,72.8242221,"613, Raheja Centtre, 214, Nariman Point, Nariman Point, Mumbai, Maharashtra 400021, India",apparel & fashion
alex jewellery pvt. ltd.,19.204741,72.8261955,"74/A, Charkop Rd, Kandivali, Charkop, Charkop Industrial Estate, Kandivali West, Mumbai, Maharashtra 400067, India",apparel & fashion
coutloot,19.1717457,72.8329367,"Prism Tower, behind HyperCITY, Malad, Goregaon West, Mumbai, Maharashtra 400064, India",apparel & fashion
federal brands limited,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
textilepeople,19.1627629,72.8328758,"C/803, Orion Off, Vasant Galaxy, New Link Rd, Jai Taramani CHS, Laxmi Nagar, Goregaon West, Mumbai, Maharashtra 400104, India",apparel & fashion
art group,19.187177,72.840777,"Unit No. 1, Satguru Krupa, Building, Haji Zakeria Rd, Malad, Navy Colony, Liberty Garden, Malad West, Mumbai, Maharashtra 400064, India",apparel & fashion
wow retail pvt.ltd,19.181663,72.835893,"924, Ijmima Complex, Link Road, Malad West, behind Goregaon Sports Club, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064, India",apparel & fashion
karwa marketing,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
bombay electric,18.9211403,72.8325667,"1, BEST Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",apparel & fashion
flemingo dutyfree shop private limited,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
kotak overseas private limited,19.0461723,72.9098134,"10, Mahinder Chambers,, Waman Tukaram Patil Marg, opp. Dukes Factory, MBPT Colony, Best Colony, Chembur, Mumbai, Maharashtra 400071, India",apparel & fashion
tip top fashions private limited,19.1843654,72.8465415,"307, 3rd Floor, Station Center, Swami Vivekananda Rd, Malad, Navy Colony, Mamledarwadi, Malad West, Mumbai, Maharashtra 400064, India",apparel & fashion
anika apparels pvt ltd,18.994625,72.8272405,"180/A, 400013, Lower Parel, Mumbai, Maharashtra 400013, India",apparel & fashion
texorange corporation limited,19.104923,72.882432,"160/6, Mittal Industrial Estate, Andheri Kurla Road,, Marol Naka, Andheri (E), Mittal Industrial Estate, Marol, Saki Naka, Mumbai, Maharashtra 400059, India",apparel & fashion
blue blends india ltd (blb),18.951727,72.8310885,"2nd Floor, J. B. F House, Kalbadevi, Mumbai - 400002, Chippi Chawl, Kalbadevi, Mumbai, Maharashtra 400002, India",apparel & fashion
avon lifestyle products pvt. ltd.,19.12034,72.861158,"B1, Nandkishore Industrial Estate, Off Mahakali Caves Rd, near Paper Box Industrial Estate, Gundavali, Andheri East, Mumbai, Maharashtra 400093, India",apparel & fashion
s. kumars nationwide limited,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
edifice architects pvt. ltd.,19.0470031,72.9106048,"First Floor Plot #2A Ujagar Infotech Park Opposite Deonar Bus Depot Sunder Baug, MBPT Colony, Best Colony, Govandi East, Mumbai, Maharashtra 400088, India",architecture & planning
vector projects (i) pvt. ltd,19.0759837,72.8776559,"Mumbai, Maharashtra, India",architecture & planning
udc,18.9223746,72.8319078,"301, Ram Nimi Building, Mandlik Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",architecture & planning
anj group,19.199949,72.82761,"106/107, Rajiv Gandhi Commercial Complex, Kandivali, Chatrapati Shivaji Raje Complex, Kandivali West, Mumbai, Maharashtra 400067, India",architecture & planning
architect hafeez contractor,18.9303354,72.8349009,"29 Bankstreet, 1st Floor, Sonawala Building, Horniman Circle, G Vaidya Rd, Kala Ghoda, Fort, Mumbai, Maharashtra 400023, India",architecture & planning
dsp design associates pvt. ltd.,18.989203,72.813428,"6th Floor, Dev Chand House Dr, Worli Hill Rd, Shiv Sagar Estate, Worli, Mumbai, Maharashtra 400018, India",architecture & planning
hunter douglas india pvt ltd,19.1120727,72.8605538,"661-662, 6th Floor, Building No 6, Solitaire Corporate Park Andheri Ghatkopar Link Road, Chakala, Andheri East, Mumbai, Maharashtra 400093, India",architecture & planning
ratan j batliboi architects,18.999497,72.8234685,"Industrial Estate, 346 A to Z, Ganpatrao Kadam Marg, near Peninsula Park, Lower Parel West, Lower Parel, Mumbai, Maharashtra 400013, India",architecture & planning
broadband pacenet (india) pvt. ltd.,19.1175443,72.867693,"B8, Marol Industrial Area, Next to MMIDC Police Station, Andheri East, Mulgaon, Andheri East, Mumbai, Maharashtra 400093, India",architecture & planning
npapl,19.0620473,72.834736,"204, Silver Pearl Building, Waterfield Road, Bandra West, Mumbai, Maharashtra 400050, India",architecture & planning
p g patki architects,18.9318794,72.8329706,"1st Floor, Calcot House, 8, Tamarind Lane, Fort, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",architecture & planning
worksphere architects india pvt.ltd.,19.1599147,72.9465198,"Mulund - Goregaon Link Rd, Nahur, Industrial Area, Bhandup West, Mumbai, Maharashtra 400078, India",architecture & planning
m/s arnita sez consultants pvt. ltd.,19.1175646,72.883584,"E-1105/06, Lok Sarita, Military Rd, Sankara Nagar, Bhavani Nagar, Marol, Andheri (E, Mumbai, Maharashtra 400059, India",architecture & planning
transitions architects pvt ltd,19.134625,72.8369171,"504,D Wing, Remi Bizcourt, Veera Desai Rd, Industrial Area, Andheri West, Mumbai, Maharashtra 400053, India",architecture & planning
team one architects (india) pvt. ltd.,19.0628277,72.8639084,"Plot No 25, Laxmi Tower, B Wing, Unit No 3B, Second St., G Block, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",architecture & planning
zz architects,19.0033503,72.827227,"8th Floor, Trade Link, 'E' Wing, 'B' Block Kamala Mill Compound, Senapati Bapat Marg, Lower Parel, W, Maharashtra 400013, India",architecture & planning
synectics forum,19.0759837,72.8776559,"Mumbai, Maharashtra, India",architecture & planning
kns architects pvt ltd,19.174639,72.837531,"16, Muncipal Shopping Center, Mitha Nagar, Link Road, Goregaon West, Goregaon West, Malad, Sunder Nagar, Malad West, Mumbai, Maharashtra 400174, India",architecture & planning
kapadia associates design llp,18.995782,72.838532,"112, peninsula Centre, Dr SS Rao road, parel East, Parel East, Parel, Mumbai, Maharashtra 400012, India",architecture & planning
mno,19.1392287,72.8114927,"MNO, Cluster_mumbai Suburban_705, Amit Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061, India",architecture & planning
nestopia,18.9614047,72.8293927,"61, Chimna Butcher St, Ajmer, Kumbharwada, Mumbai, Maharashtra 400003, India",architecture & planning
jtcpl designs,19.010393,72.829892,"3rd floor Sadguru Darshan, 1050, New Prabhadevi Rd, Prabhadevi, Mumbai, Maharashtra 400025, India",architecture & planning
unit 7 group,18.9381752,72.8355754,"Waziri Manzil 16 Manohardas Road, Modi St, Borabazar Precinct, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",architecture & planning
brindavan group,19.0511466,72.8676486,"Vrindavan, Chunabhatti, Sion, Mumbai, Maharashtra 400022, India",architecture & planning
"vpcpl - vijay punjabi consultants pvt. ltd.,",18.9249028,72.8217243,"Ajanta Apartments, Jamnalal Bajaj Marg, Mahatma Phule Nagar, Nariman Point, Mumbai, Maharashtra 400021, India",architecture & planning
ga design,18.9942866,72.8271888,"Adhyaru Industrial Estate, Sun Mill Compound, 208, Lower Parel West, Lower Parel, Mumbai, Maharashtra 400013, India",architecture & planning
practice design pvt ltd,19.050241,72.9180421,"204, Sai Samarth Business Park, Deonar Village Rd, Deonar, Govandi East, Mumbai, Maharashtra 400088, India",architecture & planning
somaya and kalappa consultants (snk),18.935455,72.841415,"Ground Floor, Udyog Bhavan, 29, Walchand Hirachand Marg, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",architecture & planning
the ashleys,19.0933328,72.914404,"315, Goldcrest Business Park, Lal Bahadur Shastri Rd, opp. Vijay Sales, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086, India",architecture & planning
talati and panthaky associated - india,19.0759837,72.8776559,"Mumbai, Maharashtra, India",architecture & planning
collage design pvt. ltd.,19.1104174,72.9299611,"300, Sai Sampann, Station Rd, Kala Ghoda, Vikhroli, Mumbai, Maharashtra 400083, India",architecture & planning
green space alliance,19.1122719,72.8827768,"702, Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India",architecture & planning
m m projects consultants private limited,19.0759837,72.8776559,"Mumbai, Maharashtra, India",architecture & planning
b.n. shah & associates,19.012817,72.8483668,"316, Wadala Udyog Bhavan, Naigaon Cross Rd, Wadala East, Naigaon, Dadar, Mumbai, Maharashtra 400031, India",architecture & planning
abm architects mumbai,19.0243658,72.835413,"665, SVS Rd, next to Hotel Amigo, Dadar West, Prabhadevi, Mumbai, Maharashtra 400028, India",architecture & planning
saral vaastu,19.0759837,72.8776559,"Mumbai, Maharashtra, India",architecture & planning
beautex industries pvt ltd,18.9931437,72.8268781,"Office#6, Ground Floor, Parvati Industrial Premises, Sun Mill Compound, Lower Parel, Mumbai, Maharashtra 400013, India",architecture & planning
studio mumbai architects,18.981631,72.832219,"561, 563, NM Joshi Marg, Byculla West, Jacob Circle, Mumbai, Maharashtra 400011, India",architecture & planning
trescent lifestyles pvt ltd,19.0082821,72.8208377,"324, T.V Industrial Estate, behind Glaxo Labs, Worli, Mumbai, Maharashtra 400030, India",architecture & planning
crysta l mirage pvt. ltd.,19.204964,72.8256816,"73/D, Government Industrial Estate, Charkop, Kandivali West, Ganesh Nagar, Bhandup West, Kandivali, Charkop, Charkop Industrial Estate, Kandivali West, Mumbai, Maharashtra 400067, India",arts and crafts
store indya private limited,19.0759837,72.8776559,"Mumbai, Maharashtra, India",arts and crafts
baroque,19.0759837,72.8776559,"Mumbai, Maharashtra, India",arts and crafts
kyoorius communications pvt ltd,18.9930393,72.8262966,"Second Floor, Kohinoor Estate, 165, Sun Mills Compound Rd, Lower Parel, Mumbai, Maharashtra 400013, India",arts and crafts
baaya design,18.9924072,72.8242628,"A-Wing, Ground Floor, Prathamesh Tower, Raghuvanshi Mills, Senapati Bapat, Road, Gandhi Nagar, Lower Parel West, Worli, Mumbai, Maharashtra 400013, India",arts and crafts
volkswagen india,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
asia motor works,19.0555995,72.8994237,"25, Shantabai Ambre Marg, Chembur, Mumbai, Maharashtra 400071, India",automotive
"mahindra and mahindra limited [automotive, farm equipment and agri business]",19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
nrb bearings ltd.,18.9341437,72.8348489,"Dhannur, 15, Sir Phirozshah Mehta Rd, Borabazar Precinct, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",automotive
carwale,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
mahindra two wheelers ltd,19.1459426,72.9366873,"shop 19, Sai Ashish Building, Bhandup Village Rd, opp. GS shetty school, Bhandup West, Mumbai, Maharashtra 400078, India",automotive
bkt tires,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
automotive manufacturers private limited,19.0717526,72.8841548,"No. 108, Bazar Ward Rd, Vinobha Bhave Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",automotive
mahindra first choice services ltd.,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
cartrade.com,19.0130137,72.8265884,"Lloyds Centre Point 1st Floor, Above Tata Motors Showroom Unit No. 11 & 12, 1096A, Appasaheb Marathe Marg, Century Bazaar, Prabhadevi, Mumbai, Maharashtra 400025, India",automotive
sedemac mechatronics,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
mahindra first choice wheels ltd,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
asian ppg industries limited,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
audi india,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
setco,18.9748314,72.8128685,"54/A, Tardeo Rd, near Film Center Building, Malviya Nagar, Tardeo, Mumbai, Maharashtra 400034, India",automotive
abc bearings ltd,18.9911464,72.8135725,"402 - B, Poonam Chambers, Dr. A. B. Road, Worli, Markandeshwar Nagar, Shiv Sagar Estate, Worli, Mumbai, Maharashtra 400018, India",automotive
credr,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
classic stripes pvt. ltd.,19.11024,72.8809522,"Astarc, House, 76, 79, Makwana Rd, Gamdevi, Marol, Andheri East, Andheri, Maharashtra 400059, India",automotive
supreme group company,19.0592912,72.9012796,"Plot 110, 16th Rd, arg, Chembur, Mumbai, Maharashtra 400071, India",automotive
mahindra sona limited,18.9252366,72.8236649,"31, 3rd Floor, Maker Chambers VI, Nariman Point, Nariman Point, Mumbai, Maharashtra 400021, India",automotive
infinity cars pvt ltd,19.0615172,72.836588,"No 253, 30th Rd, Bandra West, Mumbai, Maharashtra 400050, India",automotive
iit bombay racing,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
shivam autozone (india) pvt. ltd,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
delux bearings pvt. ltd.,19.000597,72.829404,"Shop No.31/A, 32, Mathuradas Mill Compound, Ideal Industrial Estate, Lower Parel Bridge, NM Joshi Marg, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013, India",automotive
spectra motors ltd,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
orion racing india,19.07301,72.899591,"3VFX+6R4, Ghatkopar - Mahul Rd, Vidyanagar, Vidya Vihar East, Vidyavihar, Mumbai, Maharashtra 400077, India",automotive
remsons industries ltd,19.103525,72.8485883,"401, Gladdiola, above Kotak Mahindra Bank, Near Tilak School, E, Hanuman Rd, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057, India",automotive
excell autovista pvt ltd,19.1427555,72.8430534,"3987, Swami Vivekananda Rd, कांदिवली पश्चिम, Parekh Nagar, Jogeshwari West, Mumbai, Maharashtra 400047, India",automotive
group shaman,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
mansons international pvt. ltd.,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
carcrew,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
linkway honda,19.1133051,72.8880481,"35, Saki Vihar Rd, Saki Vihar, Budhia Jadhav Wadi, Marol, Andheri East, Mumbai, Maharashtra 400072, India",automotive
ad design,19.0429459,72.8571719,"Room no. 384, 90 Feet Rd, near samiyana hotel, Kuttiwadi, Transit Camp, Rajiv Gandhi Nagar, Dharavi, Mumbai, Maharashtra 400017, India",automotive
mynewcar india,19.1485249,72.8328908,"39, Oshiwara Police Station Rd, Oshiwara, Jogeshwari West, Mumbai, Maharashtra 400053, India",automotive
kamal motors (ailsinghani group),19.1081795,72.8586674,"13NX, Abbas Manzil, Chakala Rd, opposite Hotel Ratna Mahal, Parshiwada, Chakala, Andheri East, Mumbai, Maharashtra 400099, India",automotive
shaman wheels pvt ltd - india,19.0733301,72.8701112,"Metro Estate, 178, CST Road, Kolivery Village, MMRDA Area, Kalina, Santacruz East, Mumbai, Maharashtra 400098, India",automotive
agra engineering co.,19.0664513,72.8275455,"Nibbana Annexe, Nargis Dutt Rd, Pali Hill, Mumbai, Maharashtra 400050, India",automotive
balu india,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
ion energy,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
hyperion racing team,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
ald automotive india,19.0759837,72.8776559,"Mumbai, Maharashtra, India",automotive
